Date,Open,High,Low,Volume,Adj Close
"Nov 17, 2017",33388.47,33520.82,33278.91,1155000,33342.8
"Nov 16, 2017",32829.82,33165.15,32829.82,991000,33106.82
"Nov 15, 2017",32944.94,32944.94,32683.59,1155000,32760.44
"Nov 14, 2017",32990.03,33126.55,32907.11,1243000,32941.87
"Nov 13, 2017",33397.41,33417.3,32999.98,1883000,33033.56
"Nov 10, 2017",33235.75,33380.42,33108.09,2192000,33314.56
"Nov 09, 2017",33376.62,33463.8,33111.54,1449000,33250.93
"Nov 08, 2017",33417.35,33484.7,33157.68,29182000,33218.81
"Nov 07, 2017",33781.01,33865.95,33341.82,1677000,33370.76
"Nov 06, 2017",33710.15,33848.42,33582.38,1353000,33731.19
"Nov 03, 2017",33667.34,33733.71,33531.94,20590000,33685.56
"Nov 02, 2017",33615.84,33657.57,33527,1284000,33573.22
"Nov 01, 2017",33344.23,33651.52,33340.62,1463000,33600.27
"Oct 31, 2017",33254.93,33294.3,33164.28,1191000,33213.13
"Oct 30, 2017",33260.1,33340.17,33206.93,1442000,33266.16
"Oct 27, 2017",33228.32,33286.51,33109.41,1892000,33157.22
"Oct 26, 2017",33025.17,33196.17,32835.06,1601000,33147.13
"Oct 25, 2017",32995.28,33117.33,32804.6,3082000,33042.5
"Oct 24, 2017",32619.26,32670.37,32502.08,874000,32607.34
"Oct 23, 2017",32411.86,32614.89,32312.74,865000,32506.72
"Oct 19, 2017",32656.75,32663.06,32533.89,023000,32572.93
"Oct 18, 2017",32518.56,32670.32,32462.85,1450000,32584.35
"Oct 17, 2017",32654.41,32699.86,32556.74,574000,32609.16
"Oct 16, 2017",32488.23,32687.32,32445.43,946000,32633.64
"Oct 13, 2017",32247.74,32508.59,32247.74,1597000,32432.69
"Oct 12, 2017",31887.47,32209.03,31813.67,802000,32182.22
"Oct 11, 2017",31975.59,32098.46,31769.4,887000,31833.99
"Oct 10, 2017",31910.82,31994.77,31896.9,737000,31924.41
"Oct 09, 2017",31862.2,31935.63,31781.75,605000,31846.89
"Oct 06, 2017",31633.34,31844.28,31632.81,859000,31814.22
"Oct 05, 2017",31725.85,31772.41,31562.25,614000,31592.03
"Oct 04, 2017",31522.17,31752.16,31457.78,612000,31671.71
"Oct 03, 2017",31537.81,31615.28,31440.48,730000,31497.38
"Sep 29, 2017",31367.25,31523.87,31243.71,791000,31283.72
"Sep 28, 2017",31216.36,31340.91,31081.83,856000,31282.48
"Sep 27, 2017",31785.24,31797.46,31100.8,1013000,31159.81
"Sep 26, 2017",31685.81,31693.59,31455.65,1029000,31599.76
"Sep 25, 2017",31986.4,32016.52,31474.56,1259000,31626.63
"Sep 22, 2017",32339.5,32342.81,31886.09,990000,31922.44
"Sep 21, 2017",32406.42,32462.61,32164.42,902000,32370.04
"Sep 20, 2017",32467.1,32499.88,32383.82,1076000,32400.51
"Sep 19, 2017",32522.44,32524.11,32358.63,5919000,32402.37
"Sep 18, 2017",32361.37,32508.06,32361.25,983000,32423.76
"Sep 15, 2017",32207.63,32356.11,32138.38,923000,32272.61
"Sep 14, 2017",32289.26,32328.61,32186.84,942000,32241.93
"Sep 13, 2017",32188.95,32348.3,32126.77,916000,32186.41
"Sep 12, 2017",32029.15,32172.46,31950.24,720000,32158.66
"Sep 11, 2017",31798.31,31952.87,31797.89,905000,31882.16
"Sep 08, 2017",31694.15,31763.7,31619,800000,31687.52
"Sep 07, 2017",31738.74,31814.96,31620.44,1050000,31662.74
"Sep 06, 2017",31713.5,31727.85,31586.53,755000,31661.97
"Sep 05, 2017",31755.16,31863.47,31674.23,822000,31809.55
"Sep 04, 2017",31932.2,31932.2,31560.32,780000,31702.25
"Sep 01, 2017",31769.34,31944.1,31707.27,677000,31892.23
"Aug 31, 2017",31685.44,31757.18,31551.85,1850000,31730.49
"Aug 30, 2017",31534.57,31727.98,31533.02,557000,31646.46
"Aug 29, 2017",31724.84,31739.8,31360.81,699000,31388.39
"Aug 28, 2017",31756.87,31809.7,31701.67,1045000,31750.82
"Aug 24, 2017",31673.44,31678.19,31546.05,922000,31596.06
"Aug 23, 2017",31407.47,31593.39,31379.25,1028000,31568.01
"Aug 22, 2017",31393.93,31484.28,31241.5,1114000,31291.85
"Aug 21, 2017",31609.93,31641.81,31220.53,2433000,31258.85
"Aug 18, 2017",31729.88,31729.88,31349.13,1688000,31524.68
"Aug 17, 2017",31919.17,31937.51,31714.1,883000,31795.46
"Aug 16, 2017",31566.24,31805.99,31399.35,1291000,31770.89
"Aug 14, 2017",31299.52,31526.4,31298.9,995000,31449.03
"Aug 11, 2017",31355.92,31379.2,31128.02,1566000,31213.59
"Aug 10, 2017",31750.73,31756.27,31422.8,1341000,31531.33
"Aug 09, 2017",31926.14,31967.28,31731.91,963000,31797.84
"Aug 08, 2017",32341.05,32354.77,31915.2,965000,32014.19
"Aug 07, 2017",32377.8,32396.14,32235.82,1069000,32273.67
"Aug 04, 2017",32191.12,32352.19,32107.99,1161000,32325.41
"Aug 03, 2017",32502.55,32502.55,32194.58,1296000,32237.88
"Aug 02, 2017",32641.58,32686.48,32394.89,1077000,32476.74
"Aug 01, 2017",32579.8,32632.02,32462.25,928000,32575.17
"Jul 31, 2017",32412.2,32546.5,32324.45,1348000,32514.94
"Jul 28, 2017",32381.36,32381.36,32104.66,1162000,32309.88
"Jul 27, 2017",32519.44,32672.66,32325.33,1121000,32383.3
"Jul 26, 2017",32255.99,32413.63,32226.08,1284000,32382.46
"Jul 25, 2017",32350.71,32374.3,32196.86,1453000,32228.27
"Jul 24, 2017",32100.22,32320.86,32058.33,1190000,32245.87
"Jul 21, 2017",32035.88,32062.23,31808.93,1856000,32028.89
"Jul 20, 2017",32033.82,32057.12,31859.5,1151000,31904.4
"Jul 19, 2017",31882.8,31978.89,31793.72,1173000,31955.35
"Jul 18, 2017",31775.54,31911.61,31626.44,2231000,31710.99
"Jul 17, 2017",32053.98,32131.92,32037.21,1064000,32074.78
"Jul 14, 2017",32099.93,32109.75,31897.87,740000,32020.75
"Jul 13, 2017",31896.23,32091.52,31892.63,1084000,32037.38
"Jul 12, 2017",31813.24,31865.69,31731.43,865000,31804.82
"Jul 11, 2017",31789.5,31885.11,31718.48,941000,31747.09
"Jul 10, 2017",31510.62,31768.39,31471.41,3912000,31715.64
"Jul 07, 2017",31373.52,31426.29,31286.62,642000,31360.63
"Jul 06, 2017",31298.42,31460.7,31264.86,1035000,31369.34
"Jul 05, 2017",31272.72,31284.64,31177.78,665000,31245.56
"Jul 04, 2017",31331.21,31353.46,31166.37,902000,31209.79
"Jul 03, 2017",31156.04,31258.33,31017.11,827000,31221.62
"Jun 30, 2017",30824.97,30965.45,30680.66,947000,30921.61
"Jun 29, 2017",30910.97,31097.92,30794.61,1270000,30857.52
"Jun 28, 2017",30988.87,31000.48,30798.7,1024000,30834.32
"Jun 27, 2017",31194.68,31294.96,30847.08,1580000,30958.25
